,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
0,0,Afghanistan,784,70,25,2,43,716,0,20.0,0.6,0,0,Asia,714,23,548,164,182,183,184,150,173,04-20-2020
1,1,Albania,494,19,25,1,251,218,5,172.0,9.0,4558,1584,Europe,475,24,232,102,128,86,149,64,55,04-20-2020
2,2,Algeria,2160,90,336,10,708,1116,60,49.0,8.0,3359,77,Africa,2070,326,1486,44,63,56,24,45,81,04-20-2020
3,3,Andorra,673,14,33,2,169,471,17,8710.0,427.0,1673,21653,Europe,659,31,283,10,25,17,23,7,4,04-20-2020
4,4,Angola,19,0,2,0,5,12,0,0.6,0.06,0,0,Africa,19,2,12,165,178,181,164,165,181,04-20-2020
5,5,Argentina,2443,166,111,9,596,1736,117,54.0,2.0,24374,539,America,2432,105,1466,39,60,49,34,71,75,04-20-2020
6,6,Armenia,1111,44,17,1,297,797,30,375.0,6.0,9095,3069,Europe,1111,17,579,41,63,81,102,56,104,04-20-2020
7,7,Australia,6447,47,63,2,3686,2698,76,253.0,2.0,371377,14564,Oceania,6416,61,1709,2,17,12,17,39,32,04-20-2020
8,8,Austria,14336,110,393,9,8098,5845,232,1592.0,44.0,156801,17410,Europe,14234,384,4052,17,8,10,6,15,9,04-20-2020
9,9,Azerbaijan,1253,56,13,0,404,836,24,124.0,1.0,75397,7436,Europe,1197,13,899,65,99,103,162,60,109,04-20-2020
10,10,Bahamas,53,4,8,0,6,39,1,135.0,20.0,0,0,America,49,8,34,109,67,64,22,137,98,04-20-2020
11,11,Bahrain,1671,143,7,0,663,1001,3,982.0,4.0,72647,42694,Asia,1528,7,961,61,72,58,48,30,42,04-20-2020
12,12,Bangladesh,1231,219,50,4,49,1132,1,7.0,0.3,14868,90,Asia,1012,46,961,140,125,131,144,103,88,04-20-2020
13,13,Barbados,73,0,5,0,15,53,4,254.0,17.0,864,3007,America,73,5,39,53,36,38,36,87,46,04-20-2020
14,14,Belarus,3728,447,36,3,203,3489,68,395.0,4.0,76198,8064,Europe,3281,33,3129,83,46,53,74,116,72,04-20-2020
15,15,Belgium,33573,2454,4440,283,7107,22026,1204,2897.0,383.0,128132,11056,Europe,31119,4157,18344,16,26,13,15,28,21,04-20-2020
16,16,Belize,18,0,2,0,0,16,1,45.0,5.0,567,1426,America,18,2,15,94,95,104,88,34,69,04-20-2020
17,17,Benin,35,0,1,0,18,16,0,3.0,0.08,0,0,Africa,35,1,27,157,132,143,171,136,97,04-20-2020
18,18,Bhutan,5,0,0,0,2,3,0,6.0,0.0,1166,1511,Asia,5,0,1,138,158,144,135,73,124,04-20-2020
19,19,Bolivia,397,43,28,0,7,362,3,34.0,2.0,2185,187,America,397,28,282,133,118,117,101,142,126,04-20-2020
20,20,Botswana,13,0,1,0,0,12,0,6.0,0.4,3441,1463,Africa,13,1,10,187,146,168,85,188,169,04-20-2020
21,21,Brazil,28320,3058,1736,204,14026,12558,296,133.0,8.0,62985,296,America,25262,1532,19545,111,108,125,54,78,125,04-20-2020
22,22,Bulgaria,747,34,36,1,105,606,31,108.0,5.0,18502,2663,Europe,713,35,314,60,53,74,96,92,102,04-20-2020
23,23,Burundi,5,0,1,0,0,4,0,0.4,0.08,0,0,Africa,5,1,3,179,154,161,186,171,143,04-20-2020
24,24,Cambodia,122,0,0,0,96,26,1,7.0,0.0,5768,345,Asia,122,0,13,148,150,166,140,157,174,04-20-2020
25,25,Cameroon,848,0,17,3,165,666,0,32.0,0.6,0,0,Africa,855,17,662,156,160,163,131,172,164,04-20-2020
26,26,Canada,28205,1142,1006,103,8937,18262,557,747.0,27.0,462353,12250,America,27046,903,18510,12,18,7,10,35,30,04-20-2020
27,27,Chad,23,0,0,0,2,21,0,1.0,0.0,0,0,Africa,23,0,16,161,175,177,175,161,178,04-20-2020
28,28,Chile,8273,356,94,2,2937,5242,389,433.0,5.0,91873,4806,America,7917,92,5179,32,1,33,44,23,33,04-20-2020
29,29,Colombia,3105,126,131,4,452,2522,106,61.0,3.0,45423,893,America,2979,127,2073,74,44,41,49,51,22,04-20-2020
30,30,Congo,117,43,5,0,11,101,0,21.0,0.9,0,0,Africa,74,5,52,150,142,155,122,167,166,04-20-2020
31,31,Croatia,1741,37,33,2,473,1235,31,424.0,8.0,19256,4691,Europe,1704,31,837,38,33,36,56,57,43,04-20-2020
32,32,Cuba,814,48,24,3,151,639,15,72.0,2.0,20451,1806,America,766,21,580,33,41,40,118,36,39,04-20-2020
33,33,Cyprus,715,20,12,0,65,638,8,592.0,10.0,17923,14845,Europe,695,17,433,25,31,28,39,22,24,04-20-2020
34,34,Denmark,6681,170,309,10,2748,3624,89,1153.0,53.0,77712,13417,Europe,6511,299,3651,28,21,20,8,65,34,04-20-2020
35,35,Djibouti,435,72,2,0,71,362,0,440.0,2.0,5936,6008,Africa,363,2,332,166,169,170,163,163,157,04-20-2020
36,36,Dominica,16,0,0,0,8,8,0,222.0,0.0,345,4793,America,16,0,5,26,35,42,70,59,35,04-20-2020
37,37,Ecuador,7858,255,388,19,780,6690,135,445.0,22.0,26093,1479,America,7603,355,5301,93,133,107,97,96,111,04-20-2020
38,38,Egypt,2505,155,183,5,589,1733,0,24.0,2.0,25000,244,Africa,2350,178,1694,115,141,110,115,43,63,04-20-2020
39,39,Eritrea,35,0,0,0,0,35,0,10.0,0.0,0,0,Africa,35,0,20,169,167,176,187,148,158,04-20-2020
40,40,Estonia,1400,27,35,4,117,1248,10,1055.0,26.0,33967,25606,Europe,1373,31,628,69,43,48,60,115,77,04-20-2020
41,41,Ethiopia,85,3,3,0,15,67,0,0.7,0.03,4988,43,Africa,82,3,57,182,176,186,189,169,180,04-20-2020
42,42,Fiji,16,0,0,0,0,16,0,18.0,0.0,0,0,Oceania,16,0,11,106,71,78,87,124,96,04-20-2020
43,43,Finland,3237,76,72,8,300,2865,75,584.0,13.0,48828,8813,Europe,3161,64,1777,20,27,22,18,44,31,04-20-2020
44,44,France,147863,4560,17167,1438,30955,99741,6457,2265.0,263.0,333807,5114,Europe,103573,15729,51445,3,12,6,4,4,1,04-20-2020
45,45,Gabon,80,23,1,0,4,75,0,36.0,0.4,0,0,Africa,75,1,59,144,136,141,95,143,139,04-20-2020
46,46,Gambia,9,0,1,0,2,6,0,4.0,0.4,281,116,Africa,9,1,5,143,155,153,158,109,146,04-20-2020
47,47,Georgia,306,6,3,0,71,232,6,77.0,0.8,5027,1260,Europe,300,3,190,44,61,76,125,84,114,04-20-2020
48,48,Germany,134753,2543,3804,309,72600,58349,4288,1608.0,45.0,1728357,20629,Europe,127584,3254,60218,22,20,14,3,41,25,04-20-2020
49,49,Ghana,636,0,8,0,17,611,2,20.0,0.3,44421,1430,Africa,636,8,484,149,149,139,166,158,135,04-20-2020
50,50,Greece,2192,22,102,1,269,1821,72,210.0,10.0,50771,4871,Europe,2170,101,856,7,6,23,30,11,14,04-20-2020
51,51,Grenada,14,0,0,0,0,14,2,124.0,0.0,92,818,America,14,0,5,49,82,68,67,49,85,04-20-2020
52,52,Guatemala,180,13,5,0,19,156,3,10.0,0.3,1134,63,America,180,5,142,129,106,113,130,99,78,04-20-2020
53,53,Guinea,404,41,1,1,31,372,0,31.0,0.08,0,0,Africa,363,0,347,167,166,172,159,160,161,04-20-2020
54,54,Guyana,55,8,6,0,8,41,5,70.0,8.0,213,271,America,48,6,36,98,126,116,109,104,128,04-20-2020
55,55,Haiti,41,1,3,0,0,38,0,4.0,0.3,365,32,America,40,3,25,153,152,145,155,139,138,04-20-2020
56,56,Honduras,419,12,31,5,9,379,10,42.0,3.0,1600,162,America,419,31,247,92,119,129,100,48,131,04-20-2020
57,57,Hungary,1579,67,134,12,192,1253,58,163.0,14.0,37326,3864,Europe,1579,134,1054,62,40,43,59,105,66,04-20-2020
58,58,Iceland,1727,7,8,0,1077,642,8,5061.0,23.0,37386,109558,Europe,1720,8,585,19,24,16,14,27,15,04-20-2020
59,59,India,12322,835,405,12,1432,10485,0,9.0,0.3,244893,177,Asia,11438,377,10041,19,13,121,133,118,112,04-20-2020
60,60,Indonesia,5136,297,469,10,446,4221,0,19.0,2.0,36000,132,Asia,4839,459,3311,103,156,106,154,90,92,04-20-2020
61,61,Iran,76389,1512,4777,94,49933,21679,3643,909.0,57.0,299204,3562,Asia,74877,4683,30271,96,113,114,94,58,93,04-20-2020
62,62,Iraq,1415,15,79,1,812,524,0,35.0,2.0,46135,1147,Asia,1400,78,706,126,130,124,117,75,103,04-20-2020
63,63,Ireland,12547,1068,444,38,77,12026,158,2541.0,90.0,90646,18358,Europe,11479,406,8244,27,13,25,25,32,19,04-20-2020
64,64,Israel,12501,455,130,7,2563,9808,180,1444.0,15.0,117339,13557,Asia,12046,123,7130,23,7,24,19,40,28,04-20-2020
65,65,Italy,165155,2667,21645,578,38092,105418,3079,2732.0,358.0,1117404,18481,Europe,162488,21069,56696,6,14,11,11,3,2,04-20-2020
66,66,Jamaica,125,20,5,1,21,99,0,42.0,2.0,1391,470,America,105,5,67,36,87,69,89,8,53,04-20-2020
67,67,Japan,8100,215,146,0,853,7101,152,64.0,1.0,89551,708,Asia,8100,119,6147,1,3,1,13,9,10,04-20-2020
68,68,Jordan,401,4,7,0,250,144,5,39.0,0.7,20500,2009,Asia,397,7,123,101,83,84,98,100,83,04-20-2020
69,69,Kazakhstan,1295,63,16,2,240,1039,20,69.0,0.9,81359,4333,Asia,1267,14,927,122,52,62,112,135,64,04-20-2020
70,70,Kenya,225,9,10,1,53,162,2,4.0,0.2,9630,179,Africa,216,9,157,162,135,142,152,178,140,04-20-2020
71,71,Kuwait,1405,50,3,0,206,1196,31,329.0,0.7,0,0,Asia,1355,3,1066,68,54,46,41,68,45,04-20-2020
72,72,Kyrgyzstan,449,19,5,0,78,366,5,69.0,0.8,26147,4008,Asia,449,5,342,123,122,135,146,134,151,04-20-2020
73,73,Laos,19,0,0,0,1,18,0,3.0,0.0,1235,170,Asia,19,0,10,147,147,154,157,155,165,04-20-2020
74,74,Latvia,666,9,5,0,44,617,3,353.0,3.0,29896,15850,Europe,657,5,259,82,56,67,77,121,105,04-20-2020
75,75,Lebanon,658,17,21,0,85,552,30,96.0,3.0,17260,2529,Asia,641,21,178,95,88,93,46,97,91,04-20-2020
76,76,Liberia,59,0,6,0,4,49,0,12.0,1.0,0,0,Africa,59,6,56,181,191,187,181,176,186,04-20-2020
77,77,Libya,48,13,1,0,9,38,0,7.0,0.1,585,85,Africa,35,1,25,107,102,97,84,94,87,04-20-2020
